Starting GA Evolution for Mars Lander...
Target: X=4500 (Start X=3500). Needs lateral flight.
Gen 0 | Best Fitness: -70.061
Gen 1 | Best Fitness: 0.857407
Gen 2 | Best Fitness: 0.857407
Gen 3 | Best Fitness: 0.857407
Gen 4 | Best Fitness: 0.857407
Gen 5 | Best Fitness: 3.02842
Gen 6 | Best Fitness: 4.6753
Gen 7 | Best Fitness: 4.6753
Gen 8 | Best Fitness: 4.6753
Gen 9 | Best Fitness: 4.77926
Gen 10 | Best Fitness: 6.10375
Gen 11 | Best Fitness: 6.10375
Gen 12 | Best Fitness: 6.25346
Gen 13 | Best Fitness: 6.52219
Gen 14 | Best Fitness: 7.4766
Gen 15 | Best Fitness: 7.4766
Gen 16 | Best Fitness: 7.4766
Gen 17 | Best Fitness: 7.4766
Gen 18 | Best Fitness: 7.59992
Gen 19 | Best Fitness: 7.59992
Gen 20 | Best Fitness: 7.59992
Gen 21 | Best Fitness: 7.59992
Gen 22 | Best Fitness: 7.59992
Gen 23 | Best Fitness: 7.59992
Gen 24 | Best Fitness: 7.59992
Gen 25 | Best Fitness: 7.59992
Gen 26 | Best Fitness: 7.62378
Gen 27 | Best Fitness: 7.62378
Gen 28 | Best Fitness: 7.62378
Gen 29 | Best Fitness: 7.62378
Gen 30 | Best Fitness: 7.62378
Gen 31 | Best Fitness: 7.62378
Gen 32 | Best Fitness: 7.62378
Gen 33 | Best Fitness: 7.62378
Gen 34 | Best Fitness: 7.62378
Gen 35 | Best Fitness: 7.62378
Gen 36 | Best Fitness: 7.62378
Gen 37 | Best Fitness: 7.62378
Gen 38 | Best Fitness: 7.62378
Gen 39 | Best Fitness: 7.62378
Gen 40 | Best Fitness: 7.62378
Gen 41 | Best Fitness: 7.62378
Gen 42 | Best Fitness: 7.62378
Gen 43 | Best Fitness: 7.62378
Gen 44 | Best Fitness: 7.62378
Gen 45 | Best Fitness: 7.62378
Gen 46 | Best Fitness: 7.62378
Gen 47 | Best Fitness: 7.62378
Gen 48 | Best Fitness: 7.62378
Gen 49 | Best Fitness: 8.10242
--- Best Run Simulation ---
