Starting GA Evolution for Mars Lander...
Target: X=4500 (Start X=3500). Needs lateral flight.
Gen 0 | Best Fitness: -221.491
Gen 1 | Best Fitness: -221.491
Gen 2 | Best Fitness: -221.491
Gen 3 | Best Fitness: -6.83765
Gen 4 | Best Fitness: -6.83765
Gen 5 | Best Fitness: 2.95615
Gen 6 | Best Fitness: 2.95615
Gen 7 | Best Fitness: 2.95615
Gen 8 | Best Fitness: 4.3553
Gen 9 | Best Fitness: 4.3553
Gen 10 | Best Fitness: 4.3553
Gen 11 | Best Fitness: 4.3553
Gen 12 | Best Fitness: 6.6313
Gen 13 | Best Fitness: 6.6313
Gen 14 | Best Fitness: 6.6313
Gen 15 | Best Fitness: 6.6313
Gen 16 | Best Fitness: 6.6313
Gen 17 | Best Fitness: 6.6313
Gen 18 | Best Fitness: 6.6313
Gen 19 | Best Fitness: 6.6313
Gen 20 | Best Fitness: 6.6313
Gen 21 | Best Fitness: 6.6313
Gen 22 | Best Fitness: 6.6313
Gen 23 | Best Fitness: 6.7266
Gen 24 | Best Fitness: 6.76578
Gen 25 | Best Fitness: 6.76578
Gen 26 | Best Fitness: 6.76578
Gen 27 | Best Fitness: 6.76578
Gen 28 | Best Fitness: 6.957
Gen 29 | Best Fitness: 6.957
Gen 30 | Best Fitness: 6.957
Gen 31 | Best Fitness: 7.55614
Gen 32 | Best Fitness: 7.55614
Gen 33 | Best Fitness: 7.55614
Gen 34 | Best Fitness: 7.55614
Gen 35 | Best Fitness: 7.55614
Gen 36 | Best Fitness: 7.55614
Gen 37 | Best Fitness: 7.55614
Gen 38 | Best Fitness: 7.55614
Gen 39 | Best Fitness: 7.55614
Gen 40 | Best Fitness: 7.55614
Gen 41 | Best Fitness: 7.55614
Gen 42 | Best Fitness: 7.55614
Gen 43 | Best Fitness: 7.55614
Gen 44 | Best Fitness: 7.77641
Gen 45 | Best Fitness: 7.77641
Gen 46 | Best Fitness: 7.77641
Gen 47 | Best Fitness: 7.77641
Gen 48 | Best Fitness: 7.77641
Gen 49 | Best Fitness: 7.77641
Gen 50 | Best Fitness: 7.77641
Gen 51 | Best Fitness: 7.77641
Gen 52 | Best Fitness: 7.77641
Gen 53 | Best Fitness: 7.77641
Gen 54 | Best Fitness: 7.77641
Gen 55 | Best Fitness: 7.77641
Gen 56 | Best Fitness: 7.77641
Gen 57 | Best Fitness: 7.77641
Gen 58 | Best Fitness: 7.77641
Gen 59 | Best Fitness: 7.77641
Gen 60 | Best Fitness: 7.77641
Gen 61 | Best Fitness: 7.77641
Gen 62 | Best Fitness: 7.81705
